Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
SteerableGCNN_Adam_lr0.01_wd0.0,15,16,0.3692,0.6845,0.8342,0.6993,0.7597,0.88,26.49
SteerableGCNN_Adam_lr0.01_wd0.0,15,17,0.3667,0.4349,0.8366,0.8112,0.81,0.8877,26.64
SteerableGCNN_Adam_lr0.01_wd0.0,15,18,0.3657,0.4463,0.8369,0.8061,0.7926,0.8936,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,15,19,0.3672,0.5266,0.8337,0.7698,0.728,0.8902,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,15,20,0.3603,0.4562,0.8399,0.8019,0.8095,0.8843,26.54
SteerableGCNN_Adam_lr0.01_wd0.0,15,21,0.3589,0.4984,0.8413,0.7792,0.8043,0.8881,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,15,22,0.359,0.4584,0.8409,0.8066,0.7958,0.8888,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,15,23,0.3592,0.4829,0.8407,0.7906,0.8102,0.8893,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,15,24,0.3572,0.4501,0.8404,0.7959,0.8094,0.8879,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,15,25,0.3557,0.4725,0.8418,0.8054,0.7898,0.8873,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,15,26,0.3538,0.4594,0.8399,0.7935,0.8075,0.8861,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,15,27,0.3522,0.4923,0.8441,0.7841,0.7522,0.8895,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,15,28,0.3537,0.4295,0.8439,0.8119,0.8164,0.8915,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,15,29,0.3434,0.5018,0.8478,0.7809,0.8043,0.8868,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,15,30,0.3541,0.6007,0.8446,0.744,0.6797,0.8844,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,67,1,0.4603,0.4542,0.7795,0.7949,0.7942,0.8717,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,67,2,0.4262,0.455,0.8031,0.8038,0.8007,0.8791,26.56
SteerableGCNN_Adam_lr0.01_wd0.0,67,3,0.4057,0.4866,0.8122,0.7854,0.7586,0.8834,26.57
SteerableGCNN_Adam_lr0.01_wd0.0,67,4,0.3861,0.4609,0.8245,0.7891,0.8071,0.8819,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,67,5,0.3726,0.6261,0.83,0.7146,0.6237,0.8907,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,67,6,0.3615,0.45,0.8388,0.8154,0.8042,0.8955,26.68
SteerableGCNN_Adam_lr0.01_wd0.0,67,7,0.3598,0.4706,0.8392,0.791,0.8095,0.8873,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,67,8,0.3447,0.4565,0.8455,0.8068,0.81,0.8825,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,67,9,0.3355,0.5376,0.8506,0.7659,0.7932,0.8658,26.61
SteerableGCNN_Adam_lr0.01_wd0.0,67,10,0.3265,0.4302,0.8583,0.8225,0.8152,0.8998,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,11,0.3193,0.4877,0.8604,0.7982,0.7797,0.8847,26.65
SteerableGCNN_Adam_lr0.01_wd0.0,67,12,0.3241,0.5208,0.8583,0.778,0.7931,0.8654,26.65
SteerableGCNN_Adam_lr0.01_wd0.0,67,13,0.3153,0.5256,0.8647,0.7829,0.7657,0.8664,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,14,0.308,0.9712,0.8661,0.6306,0.4313,0.8837,26.65
SteerableGCNN_Adam_lr0.01_wd0.0,67,15,0.3042,0.5517,0.8686,0.7632,0.7824,0.8485,26.66
SteerableGCNN_Adam_lr0.01_wd0.0,67,16,0.301,0.5627,0.8721,0.76,0.7415,0.8441,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,17,0.296,0.6864,0.8752,0.7164,0.633,0.8638,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,67,18,0.2949,0.6177,0.875,0.7503,0.6949,0.8848,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,19,0.2892,1.3138,0.8793,0.5789,0.2895,0.8522,26.56
SteerableGCNN_Adam_lr0.01_wd0.0,67,20,0.2893,0.4952,0.8774,0.7857,0.7733,0.8691,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,67,21,0.2808,1.4066,0.8814,0.5917,0.3248,0.8649,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,67,22,0.2856,0.6308,0.8813,0.749,0.709,0.8455,26.59
SteerableGCNN_Adam_lr0.01_wd0.0,67,23,0.2807,0.7183,0.8811,0.7105,0.624,0.8561,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,67,24,0.2806,0.8657,0.8813,0.6645,0.5187,0.8584,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,67,25,0.281,0.6201,0.882,0.7361,0.6858,0.8511,26.62
SteerableGCNN_Adam_lr0.01_wd0.0,67,26,0.2796,0.6438,0.8824,0.7134,0.7627,0.8423,26.6
SteerableGCNN_Adam_lr0.01_wd0.0,67,27,0.2764,0.5385,0.8814,0.7675,0.7422,0.8648,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,28,0.2873,0.5637,0.8737,0.7552,0.7826,0.859,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,29,0.2959,0.5957,0.8713,0.7336,0.6869,0.8429,26.63
SteerableGCNN_Adam_lr0.01_wd0.0,67,30,0.309,0.6121,0.8669,0.7439,0.7044,0.8374,26.58
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,1,0.6111,0.6061,0.635,0.6441,0.7278,0.7331,22.71
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,2,0.5088,0.5534,0.7419,0.7402,0.7367,0.81,22.49
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,3,0.4144,0.5118,0.8105,0.7626,0.7785,0.8415,22.48
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,4,0.3938,0.5206,0.8193,0.7645,0.756,0.8483,22.49
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,5,0.3857,0.5433,0.823,0.7599,0.7487,0.8413,22.52
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,6,0.3749,0.5113,0.8286,0.7733,0.7825,0.8484,22.52
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,7,0.3674,0.5169,0.8347,0.7721,0.7629,0.8533,22.5
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,8,0.3581,0.521,0.8398,0.7723,0.7724,0.8473,22.5
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,9,0.355,0.5744,0.8424,0.748,0.75,0.8258,22.48
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,10,0.3477,0.5915,0.8459,0.745,0.7195,0.8426,22.47
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,11,0.3365,0.5186,0.8531,0.7682,0.7826,0.8503,22.49
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,12,0.3337,0.5863,0.8547,0.7318,0.6809,0.8537,22.48
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,13,0.3276,0.5987,0.8581,0.7373,0.6913,0.8583,22.47
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,14,0.3229,0.528,0.8598,0.7666,0.755,0.8546,22.5
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,15,0.3137,0.6116,0.8635,0.7419,0.6984,0.8553,22.53
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,16,0.3104,0.5144,0.8669,0.7743,0.7688,0.8605,22.47
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,17,0.3076,0.546,0.8688,0.7684,0.7617,0.8532,22.49
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,18,0.2948,0.5958,0.874,0.753,0.7212,0.8524,22.48
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,19,0.2921,0.5807,0.8768,0.7535,0.7245,0.852,22.51
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,20,0.2871,0.6946,0.8793,0.714,0.6445,0.8402,22.55
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,21,0.2872,0.6129,0.8806,0.7527,0.7195,0.8436,22.53
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,22,0.2821,0.5703,0.8811,0.7656,0.7413,0.8563,22.45
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,23,0.2766,0.5693,0.8834,0.771,0.7534,0.852,22.62
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,24,0.2744,0.6177,0.8848,0.7565,0.7452,0.8339,22.55
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,25,0.2799,0.7022,0.8807,0.7297,0.6719,0.8416,22.64
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,26,0.2672,0.6388,0.8921,0.7504,0.7235,0.8368,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,27,0.2666,0.6535,0.8908,0.7581,0.722,0.8474,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,28,0.2646,0.7569,0.892,0.722,0.6586,0.8237,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,29,0.2563,0.7358,0.8946,0.7416,0.6947,0.8279,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,42,30,0.252,0.6708,0.8985,0.7569,0.7458,0.8286,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,1,0.5851,0.6237,0.6705,0.6464,0.7125,0.5788,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,2,0.5658,0.6339,0.6831,0.6462,0.7074,0.5988,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,3,0.5604,0.6127,0.6889,0.6516,0.7219,0.5719,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,4,0.5593,0.6283,0.6898,0.6451,0.7118,0.6221,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,5,0.5551,0.6119,0.694,0.6493,0.7252,0.612,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,6,0.5454,0.6071,0.7037,0.6743,0.5877,0.8146,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,7,0.4145,0.5732,0.8145,0.7359,0.71,0.8272,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,8,0.3817,0.5111,0.8308,0.7581,0.7459,0.8434,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,9,0.3686,0.5643,0.8375,0.7255,0.6857,0.8426,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,10,0.3558,0.5309,0.8447,0.7521,0.7396,0.8415,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,11,0.3524,0.5789,0.8449,0.7263,0.6885,0.8368,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,12,0.3456,0.5207,0.8484,0.7567,0.7449,0.844,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,13,0.3336,0.5071,0.8549,0.7682,0.7515,0.8641,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,14,0.3231,0.5749,0.8597,0.7451,0.7117,0.8549,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,15,0.3131,0.5257,0.8648,0.7663,0.7538,0.8571,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,16,0.3069,0.5413,0.8665,0.758,0.7234,0.8715,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,17,0.2961,0.5318,0.872,0.7593,0.7461,0.8515,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,18,0.2908,0.5415,0.8741,0.7642,0.7424,0.8677,22.71
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,19,0.2807,0.564,0.8827,0.7503,0.7127,0.8689,22.71
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,20,0.2755,0.5035,0.8831,0.7747,0.7763,0.863,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,21,0.2744,0.5918,0.8841,0.7416,0.708,0.8491,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,22,0.2674,0.5342,0.8892,0.7689,0.7489,0.8675,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,23,0.2635,0.5646,0.8904,0.758,0.7299,0.8665,22.72
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,24,0.2651,0.5593,0.8897,0.7619,0.741,0.8619,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,25,0.2597,0.5431,0.8923,0.7724,0.7636,0.8588,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,26,0.2587,0.537,0.8925,0.7739,0.7621,0.866,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,27,0.2566,0.5172,0.8937,0.7798,0.7718,0.8735,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,28,0.252,0.577,0.8958,0.763,0.7297,0.8727,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,29,0.2541,0.544,0.8958,0.7692,0.7499,0.8705,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,15,30,0.2475,0.5631,0.8971,0.756,0.7419,0.8487,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,1,0.5146,0.5051,0.7429,0.7624,0.7774,0.8283,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,2,0.4316,0.4635,0.8042,0.7914,0.8023,0.8582,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,3,0.4113,0.4843,0.811,0.7812,0.7766,0.8605,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,4,0.3949,0.4815,0.8187,0.7801,0.7789,0.8637,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,5,0.3843,0.4665,0.824,0.7822,0.7804,0.8686,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,6,0.3692,0.5118,0.8314,0.771,0.7505,0.8731,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,7,0.3618,0.4473,0.8345,0.7962,0.8082,0.8773,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,8,0.3463,0.429,0.8458,0.8021,0.8158,0.8851,22.65
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,9,0.3447,0.4636,0.8443,0.7771,0.7645,0.879,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,10,0.3321,0.4709,0.8542,0.7763,0.7718,0.8685,22.65
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,11,0.3238,0.6002,0.855,0.7184,0.6415,0.8761,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,12,0.3209,0.534,0.8589,0.7507,0.7212,0.8606,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,13,0.3141,0.4568,0.8633,0.79,0.7902,0.8771,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,14,0.315,0.4708,0.8629,0.7784,0.7799,0.8672,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,15,0.3049,0.4635,0.8682,0.7872,0.7933,0.8729,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,16,0.3069,0.5624,0.8667,0.7346,0.6796,0.871,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,17,0.3058,0.5754,0.8669,0.7429,0.7168,0.8406,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,18,0.2996,0.5154,0.8697,0.7652,0.7609,0.8493,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,19,0.297,0.5177,0.8713,0.7611,0.7527,0.8557,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,20,0.2943,0.611,0.8731,0.7448,0.7232,0.8395,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,21,0.2945,0.532,0.8747,0.7578,0.7571,0.8491,22.68
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,22,0.2958,0.543,0.8717,0.7587,0.7803,0.8574,22.71
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,23,0.2933,0.6533,0.8773,0.7138,0.6546,0.8483,22.7
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,24,0.2853,0.5593,0.878,0.7467,0.7095,0.8626,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,25,0.2848,0.5401,0.8786,0.7542,0.7304,0.8525,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,26,0.2811,0.7484,0.8799,0.6762,0.5967,0.8085,22.69
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,27,0.2801,0.6476,0.879,0.7133,0.6526,0.8478,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,28,0.2736,0.5714,0.8874,0.7379,0.6933,0.8569,22.67
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,29,0.2671,0.6372,0.8891,0.7235,0.6875,0.833,22.66
GCNN_CYCLIC_4_AdamW_lr0.001_wd0.0001,67,30,0.269,0.5873,0.8873,0.722,0.7015,0.8299,22.67
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,1,0.5036,0.6366,0.7446,0.6867,0.7562,0.8024,42.84
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,2,0.4346,0.5254,0.7994,0.7587,0.7565,0.8343,42.88
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,3,0.4114,0.5274,0.8085,0.7575,0.7626,0.8296,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,4,0.402,0.4998,0.8129,0.7709,0.7645,0.8508,42.95
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,5,0.3899,0.5457,0.8223,0.745,0.7362,0.8277,42.98
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,6,0.3828,0.564,0.8251,0.7406,0.7079,0.8418,42.99
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,7,0.3721,0.5958,0.8309,0.7349,0.7126,0.8255,43.0
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,8,0.3634,0.5757,0.8349,0.7482,0.7522,0.8315,43.01
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,9,0.3604,0.5,0.8387,0.7666,0.7687,0.8489,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,10,0.3488,0.6002,0.8434,0.7399,0.7008,0.8449,43.01
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,11,0.3311,0.4989,0.8527,0.7678,0.7812,0.8541,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,12,0.3338,0.5514,0.8542,0.7436,0.7307,0.8392,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,13,0.3186,0.5586,0.8618,0.7336,0.6947,0.84,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,14,0.3182,0.5437,0.8579,0.7515,0.7378,0.8457,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,15,0.313,0.5522,0.865,0.7509,0.7321,0.8473,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,16,0.3013,0.5707,0.8699,0.7419,0.71,0.8424,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,17,0.3043,0.5976,0.8674,0.7263,0.687,0.8283,43.02
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,18,0.2965,0.64,0.8717,0.7174,0.6559,0.8392,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,19,0.2974,0.5636,0.872,0.7461,0.7442,0.829,43.07
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,20,0.2891,0.5575,0.8777,0.7488,0.7207,0.8498,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,21,0.2853,0.6213,0.8795,0.7263,0.672,0.8439,43.04
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,22,0.2851,0.6284,0.8782,0.7182,0.6474,0.8547,43.03
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,23,0.2827,0.6329,0.8786,0.7144,0.6433,0.8443,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,24,0.2768,0.6154,0.8849,0.7289,0.6866,0.8359,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,25,0.273,0.6515,0.8864,0.7239,0.6603,0.8414,43.06
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,26,0.2659,0.6758,0.8897,0.7257,0.6672,0.8423,43.07
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,27,0.2654,0.8327,0.8892,0.6707,0.5422,0.8395,43.06
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,28,0.263,0.7156,0.8918,0.7001,0.629,0.8201,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,29,0.2586,0.6634,0.8942,0.7301,0.6867,0.8305,43.07
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,42,30,0.2559,0.7961,0.8959,0.6866,0.5816,0.8324,43.05
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,1,0.4613,0.4947,0.7678,0.7645,0.7565,0.8491,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,2,0.401,0.4972,0.8075,0.7652,0.7691,0.8364,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,3,0.3863,0.5306,0.819,0.7509,0.7415,0.8414,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,4,0.3752,0.5952,0.8262,0.7269,0.697,0.8336,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,5,0.3636,0.78,0.8327,0.6575,0.5521,0.8187,42.98
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,6,0.349,0.4865,0.8418,0.7736,0.7782,0.8535,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,7,0.3378,0.5482,0.8496,0.7594,0.7376,0.86,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,8,0.3242,0.6295,0.8585,0.7161,0.6753,0.8358,42.98
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,9,0.313,0.6188,0.8636,0.7348,0.6859,0.8621,42.95
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,10,0.3067,0.5493,0.8663,0.7502,0.7206,0.8642,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,11,0.3015,0.5226,0.8697,0.7708,0.7641,0.8528,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,12,0.2915,0.5513,0.8747,0.7689,0.7533,0.8627,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,13,0.2895,0.5592,0.874,0.7555,0.7516,0.8456,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,14,0.2824,0.5102,0.879,0.7703,0.7611,0.8643,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,15,0.2777,0.6226,0.8813,0.7511,0.7216,0.8553,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,16,0.2696,0.6157,0.8855,0.738,0.7008,0.8533,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,17,0.266,0.7266,0.8886,0.7147,0.6582,0.8406,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,18,0.2619,0.6669,0.8917,0.7607,0.7324,0.8559,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,19,0.2594,0.8237,0.8927,0.7001,0.6283,0.8334,42.95
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,20,0.2557,0.673,0.8943,0.7512,0.716,0.8539,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,21,0.2498,0.6955,0.8977,0.7526,0.731,0.8405,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,22,0.2507,0.6609,0.8969,0.7487,0.7136,0.8523,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,23,0.2434,0.881,0.9015,0.6918,0.5982,0.8324,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,24,0.245,0.7432,0.9015,0.736,0.7123,0.8238,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,25,0.2399,0.8057,0.901,0.71,0.6747,0.8013,42.96
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,26,0.2362,0.9422,0.9045,0.7138,0.6538,0.8173,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,27,0.2397,0.7364,0.902,0.7429,0.7184,0.8267,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,28,0.2363,0.8153,0.9042,0.7284,0.6776,0.8287,42.98
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,29,0.2335,0.7769,0.9067,0.7476,0.71,0.8353,42.98
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,15,30,0.2341,0.948,0.9061,0.6977,0.617,0.8224,42.97
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,1,0.4817,0.4898,0.7665,0.7765,0.7919,0.8366,42.92
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,2,0.4242,0.502,0.7997,0.7713,0.7824,0.8403,42.92
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,3,0.4057,0.4956,0.8094,0.7798,0.7851,0.8531,42.92
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,4,0.3857,0.4976,0.8256,0.7705,0.7699,0.8544,42.95
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,5,0.3631,0.4794,0.8347,0.7693,0.7609,0.8661,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,6,0.3435,0.5581,0.8467,0.738,0.6937,0.8635,42.94
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,7,0.3319,0.55,0.8513,0.7535,0.7279,0.8581,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,8,0.3227,0.4704,0.8572,0.7878,0.7715,0.8838,42.92
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,9,0.31,0.4875,0.8647,0.7775,0.7568,0.8782,42.93
GCNN_DIHEDRAL_4_Adam_lr0.01_wd0.0,67,10,0.3036,0.5322,0.8675,0.7578,0.7295,0.8648,42.93
